VENDOR CODE,PO NUMBER,MSG ID,ORDER DATE,DELIVERY DATE,STORE CODE,STORE DESCRIPTION,VENDOR PRODUCT CODE,BARCODE NUMBER,DESCRIPTION,PACK SIZE,QTY,COST PRICE (Incl VAT),CURRENCY,PO TYPE
1000005555,4561663341,817849542,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,NNB001,36001007308460,NO NAME CHICKEN VIENNAS 1KG,12.00,18.00,7663.68,ZAR,Allocation DC
1000005555,4561663341,817849542,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,NNB002,56001007308341,NO NAME SMOKED VIENNAS 1KG,12.00,24.00,10218.24,ZAR,Allocation DC
1000005555,4561663341,817849542,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,NNB003,56001007308396,NO NAME RED VIENNAS 1KG,12.00,22.00,9366.72,ZAR,Allocation DC
1000005555,4561663341,817849542,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,NNB004,46001007308405,NO NAME CHICKEN VIENNAS 500GR,10.00,45.00,8509.50,ZAR,Allocation DC
1000005555,4561663341,817849542,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,NNB005,36001007308309,NO NAME SMOKED VIENNAS 500GR,10.00,53.00,10022.30,ZAR,Allocation DC
1000005555,4561663341,817849542,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,NNB006,56001007308389,NO NAME RED VIENNAS 500GR,10.00,44.00,8320.40,ZAR,Allocation DC
1000005555,4561663341,817849542,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PCCP750,16001007300248,PNP CHICKEN CHEESE POLONY 750GR,10.00,5.00,1652.00,ZAR,Allocation DC
1000005555,4561663341,817849542,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PCCV1,36001007295708,PNP CHICKEN CHEESE VIENNAS 1KG,10.00,50.00,27835.00,ZAR,Allocation DC
1000005555,4561663341,817849542,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PCCV500,56001007294859,PNP CHICKEN CHEESE VIENNAS 500GR,10.00,44.00,13081.20,ZAR,Allocation DC
1000005555,4561663341,817849542,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PCP900,16001007300231,PNP CHICKEN POLONY 900GR,10.00,4.00,1321.60,ZAR,Allocation DC
1000005555,4561663341,817849542,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PCV1,46001007259301,PNP CHICKEN VIENNAS 1KG,10.00,26.00,14474.20,ZAR,Allocation DC
1000005555,4561663341,817849542,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PCV500,56001007294842,PNP CHICKEN VIENNAS 500GR,10.00,18.00,5351.40,ZAR,Allocation DC
1000005555,4561663341,817849542,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PPSV1,36001007295715,PNP SMOKED VIENNAS 1KG,10.00,9.00,4401.90,ZAR,Allocation DC
1000005555,4561663341,817849542,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PPSV500,26001007300313,PNP SMOKED VIENNAS 500GR,10.00,19.00,5036.90,ZAR,Allocation DC
1000005555,4561663341,817849542,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PVP3.0,6009613421701,VENCOR V/P PROCESSED MEATS 3KG,4.00,17.00,8078.40,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,NNB001,36001007308460,NO NAME CHICKEN VIENNAS 1KG,12.00,4.00,1703.04,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,NNB002,56001007308341,NO NAME SMOKED VIENNAS 1KG,12.00,3.00,1277.28,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,NNB003,56001007308396,NO NAME RED VIENNAS 1KG,12.00,3.00,1277.28,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,NNB004,46001007308405,NO NAME CHICKEN VIENNAS 500GR,10.00,18.00,3403.80,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,NNB005,36001007308309,NO NAME SMOKED VIENNAS 500GR,10.00,9.00,1701.90,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,NNB006,56001007308389,NO NAME RED VIENNAS 500GR,10.00,6.00,1134.60,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PCCP750,16001007300248,PNP CHICKEN CHEESE POLONY 750GR,10.00,2.00,660.80,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PCCV1,36001007295708,PNP CHICKEN CHEESE VIENNAS 1KG,10.00,4.00,2226.80,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PCCV500,56001007294859,PNP CHICKEN CHEESE VIENNAS 500GR,10.00,14.00,4162.20,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PCP900,16001007300231,PNP CHICKEN POLONY 900GR,10.00,2.00,660.80,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PCV1,46001007259301,PNP CHICKEN VIENNAS 1KG,10.00,1.00,556.70,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PCV500,56001007294842,PNP CHICKEN VIENNAS 500GR,10.00,5.00,1486.50,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PPSV1,36001007295715,PNP SMOKED VIENNAS 1KG,10.00,2.00,978.20,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PPSV500,26001007300313,PNP SMOKED VIENNAS 500GR,10.00,4.00,1060.40,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PVP3.0,6009613421701,VENCOR V/P PROCESSED MEATS 3KG,4.00,1.00,475.20,ZAR,Allocation DC
1000001415,4561659450,817861135,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PDF1,96001000016432,DELI PNP FOOTLONG RUSSIAN CW 1PK,5.00,1.00,219.50,ZAR,Allocation DC
1000001415,4561659450,817861135,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PDR1,16001000016948,DELI PNP RUSSIAN CW 1PK,5.00,1.00,219.50,ZAR,Allocation DC
1000001415,4561659450,817861135,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PDS500,36001007293797,PNP SMOKEYS 500GR,15.00,4.00,1050.00,ZAR,Allocation DC
1000001415,4561659450,817861135,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PDV500,26001007293783,DELI PNP SMOKED VIENNAS 500GR,16.00,9.00,2520.00,ZAR,Allocation DC
1000001415,4561659450,817861135,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PRV1,36001007287321,DELI PNP RED VIENNA 1PK,5.00,2.00,339.70,ZAR,Allocation DC
1000001415,4561663340,817849541,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PDF1,96001000016432,DELI PNP FOOTLONG RUSSIAN CW 1PK,5.00,3.00,658.50,ZAR,Allocation DC
1000001415,4561663340,817849541,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PDR1,16001000016948,DELI PNP RUSSIAN CW 1PK,5.00,3.00,658.50,ZAR,Allocation DC
1000001415,4561663340,817849541,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PDS1,16001000016849,DELI PNP SMOKEY CW 1PK,5.00,3.00,509.55,ZAR,Allocation DC
1000001415,4561663340,817849541,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PDS500,36001007293797,PNP SMOKEYS 500GR,15.00,26.00,6825.00,ZAR,Allocation DC
1000001415,4561663340,817849541,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PDV500,26001007293783,DELI PNP SMOKED VIENNAS 500GR,16.00,27.00,7560.00,ZAR,Allocation DC
1000001415,4561663340,817849541,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PRV1,36001007287321,DELI PNP RED VIENNA 1PK,5.00,6.00,1019.10,ZAR,Allocation DC
1000001415,4561663340,817849541,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PSV1,36001007287345,DELI PNP SMOKED VIENNA 1PK,5.00,5.00,849.25,ZAR,Allocation DC
1000005555,4561653978,817841583,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,NNB001,36001007308460,NO NAME CHICKEN VIENNAS 1KG,12.00,6.00,2554.56,ZAR,Allocation DC
1000005555,4561653978,817841583,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,NNB002,56001007308341,NO NAME SMOKED VIENNAS 1KG,12.00,12.00,5109.12,ZAR,Allocation DC
1000005555,4561653978,817841583,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,NNB003,56001007308396,NO NAME RED VIENNAS 1KG,12.00,5.00,2128.80,ZAR,Allocation DC
1000005555,4561653978,817841583,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,NNB004,46001007308405,NO NAME CHICKEN VIENNAS 500GR,10.00,17.00,3214.70,ZAR,Allocation DC
1000005555,4561653978,817841583,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,NNB005,36001007308309,NO NAME SMOKED VIENNAS 500GR,10.00,20.00,3782.00,ZAR,Allocation DC
1000005555,4561653978,817841583,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,NNB006,56001007308389,NO NAME RED VIENNAS 500GR,10.00,12.00,2269.20,ZAR,Allocation DC
1000005555,4561653978,817841583,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,PCCP750,16001007300248,PNP CHICKEN CHEESE POLONY 750GR,10.00,2.00,660.80,ZAR,Allocation DC
1000005555,4561653978,817841583,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,PCCV1,36001007295708,PNP CHICKEN CHEESE VIENNAS 1KG,10.00,11.00,6123.70,ZAR,Allocation DC
1000005555,4561653978,817841583,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,PCCV500,56001007294859,PNP CHICKEN CHEESE VIENNAS 500GR,10.00,13.00,3864.90,ZAR,Allocation DC
1000005555,4561653978,817841583,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,PCP900,16001007300231,PNP CHICKEN POLONY 900GR,10.00,2.00,660.80,ZAR,Allocation DC
1000005555,4561653978,817841583,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,PCV1,46001007259301,PNP CHICKEN VIENNAS 1KG,10.00,7.00,3896.90,ZAR,Allocation DC
1000005555,4561653978,817841583,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,PCV500,56001007294842,PNP CHICKEN VIENNAS 500GR,10.00,7.00,2081.10,ZAR,Allocation DC
1000005555,4561653978,817841583,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,PPSV1,36001007295715,PNP SMOKED VIENNAS 1KG,10.00,5.00,2445.50,ZAR,Allocation DC
1000005555,4561653978,817841583,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,PPSV500,26001007300313,PNP SMOKED VIENNAS 500GR,10.00,6.00,1590.60,ZAR,Allocation DC
1000005555,4561653978,817841583,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,PVP3.0,6009613421701,VENCOR V/P PROCESSED MEATS 3KG,4.00,9.00,4276.80,ZAR,Allocation DC
1000001415,4561653975,817841581,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,PDF1,96001000016432,DELI PNP FOOTLONG RUSSIAN CW 1PK,5.00,3.00,658.50,ZAR,Allocation DC
1000001415,4561653975,817841581,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,PDR1,16001000016948,DELI PNP RUSSIAN CW 1PK,5.00,3.00,658.50,ZAR,Allocation DC
1000001415,4561653975,817841581,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,PDS1,16001000016849,DELI PNP SMOKEY CW 1PK,5.00,3.00,509.55,ZAR,Allocation DC
1000001415,4561653975,817841581,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,PDS500,36001007293797,PNP SMOKEYS 500GR,15.00,4.00,1050.00,ZAR,Allocation DC
1000001415,4561653975,817841581,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,PDV500,26001007293783,DELI PNP SMOKED VIENNAS 500GR,16.00,14.00,3920.00,ZAR,Allocation DC
1000001415,4561653975,817841581,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,PSV1,36001007287345,DELI PNP SMOKED VIENNA 1PK,5.00,1.00,169.85,ZAR,Allocation DC
